age,sex,race,sibs,paeduc,maeduc,family16,fund16,incom16,relig16,mawrkgrw,othlang,born,parborn,granborn,zodiac,degree
34,1,1,5,12,12,1,2,2,1,1,2,1,2,2,10,0
77,0,1,3,16,12,1,2,4,2,2,2,1,0,0,1,0
89,1,1,1,12,12,1,3,3,1,1,2,1,0,3,9,0
69,1,1,2,8,12,1,2,1,2,1,1,1,0,2,1,1
70,1,1,3,12,12,1,2,4,2,2,2,1,0,3,11,0
71,0,1,2,12,12,1,2,3,2,1,1,1,0,2,2,1
34,1,1,5,16,16,2,3,4,1,1,1,1,0,0,4,1
77,0,3,3,12,12,1,2,3,2,1,2,1,0,0,12,0
38,0,1,4,0,0,1,2,1,1,2,1,2,8,4,1,0
29,0,1,2,12,12,4,2,5,2,1,2,1,0,0,1,0
69,1,1,2,12,11,1,2,3,2,2,2,1,0,3,1,0
36,0,1,2,11,9,1,2,3,2,1,2,1,0,0,1,0
43,0,3,12,16,10,1,2,4,2,1,1,2,8,4,10,0
64,0,1,4,12,16,5,2,3,2,1,2,1,0,2,8,0
53,1,1,3,8,14,1,2,4,2,1,2,1,1,2,7,0
69,0,1,2,8,8,1,2,3,2,2,2,1,0,2,5,0
39,0,1,7,12,12,8,2,4,1,1,2,1,0,0,5,0
57,1,1,1,12,12,1,2,3,2,2,2,1,0,0,2,0
63,0,1,7,6,12,1,2,3,1,2,1,1,8,4,9,0
75,0,1,3,12,6,0,2,3,1,2,2,1,0,0,11,0
32,1,1,2,14,14,1,3,5,4,1,1,1,0,0,4,1
46,1,1,5,3,12,4,2,3,1,1,1,1,0,0,2,0
