status_id	created_at	screen_name	text	favorite_count	retweet_count
1372893137899765760	2021-03-19T12:50:05Z	nytimes	been thinking a lot about vaccine inequality lately — this piece is the result of working with NYT reporters across more than a dozen countries (and lots of U.S. states!) looking at who is eligible vs. who is actually being vaccinated https://t.co/rRMt8kIcFO	0	199
1372890864062767111	2021-03-19T12:41:03Z	nytimes	"On today’s Daily: Gov Andrew Cuomo’s power has been built around two forces, fear (of his ruthlessness) and popularity (with voters).  

@ShaneGoldmacher on how that has brought Cuomo to this moment.  

https://t.co/kyEh37QSBb"	0	64
1372890617190178824	2021-03-19T12:40:04Z	nytimes	"Massacres, sexual violence, ethnic cleansing: We visited a breakaway Ethiopian region in the military’s grip and unearthed disturbing accounts.
https://t.co/WRI4ypqh3p"	153	55
1372888127258423296	2021-03-19T12:30:11Z	nytimes	A child died in an accident involving a Peloton treadmill, the company’s CEO told customers on Thursday. In a letter, the CEO said that the company had been aware of “a small handful” of other instances in which children were hurt. https://t.co/nlwfrTGaSM	95	30
1372884342981193737	2021-03-19T12:15:08Z	nytimes	"The man whom the police have charged with killing eight people at Atlanta-area massage parlors had been a customer of at least two of the spas, the police said on Thursday.
https://t.co/Ua1ggdAGCM"	109	27
1372883070378983425	2021-03-19T12:10:05Z	nytimes	"On Sunday, Ludwig Ahgren, a Twitch streamer, turned his camera on and began streaming. He hasn’t stopped for five days.

He'll keep going until we all subscribe to his Twitch channel. But please: “Don’t use your stimulus check on me,” he says. https://t.co/VCLlzwDdRd"	193	26
1372880577368616962	2021-03-19T12:00:11Z	nytimes	"Getting a coronavirus vaccine means living in the right place — or knowing the right people.

Here’s a look at who can, and who can’t, access shots around the world.
https://t.co/c0twINNQxK"	310	129
1372878047247011841	2021-03-19T11:50:07Z	nytimes	"The Los Angeles Police Department said on Thursday that it had opened an investigation into a woman’s allegation that she had been sexually assaulted by the actor Armie Hammer in 2017. 
https://t.co/ZXE7SrZrGK"	214	49
1372875524968697856	2021-03-19T11:40:06Z	nytimes	"President Biden and some Democrats have shown support for returning to “talking filibusters” in the Senate.

Here’s how the marathon speeches have been used in the past.
https://t.co/GTE3WmLwYJ"	188	29
1372874265905803268	2021-03-19T11:35:06Z	nytimes	"The rancorous meeting in Alaska was not simply ""grandstanding"" for the home audience but a sign of China's willingness to challenge America's place in the world order. https://t.co/yikRrpvYUR"	0	82
1372873017550909445	2021-03-19T11:30:08Z	nytimes	"Prominent opposition figures in Russia have been confined to house arrest on accusations that they violated coronavirus safety rules.

Defense lawyers say the government is using virus-related restrictions to muzzle its opponents.

https://t.co/tdHiglgO0a"	115	49
1372870480907149312	2021-03-19T11:20:04Z	nytimes	"In the city hospitals, injured civilians bring accounts of war-time horrors from the surrounding countryside. 
Today's story on Tigray, in northern Ethiopia, where potential war crimes and a humanitarian crisis are causing international alarm.  
https://t.co/PDqLMI9a8r"	0	142
1372869224985726977	2021-03-19T11:15:04Z	nytimes	"Gov. Andrew Cuomo of New York rose to political power thanks to his popularity among voters and lawmakers’ fears of crossing him. What does his lonely decline say about the way he built his career?

Listen to today’s episode of The Daily.

https://t.co/5O4MTzVKFy"	119	29
1372865443548037122	2021-03-19T11:00:03Z	nytimes	"Along with baking and jigsaw puzzles earlier in the pandemic, model trains are among the passions being rediscovered while people are cooped up indoors. 

“It’s a little piece of a perfect world,” a model train hobbyist from Sweden said. https://t.co/xr5fG8BOJq"	154	23
1372857941653610501	2021-03-19T10:30:14Z	nytimes	"Since the military seized power in a coup last month, Myanmar has come to a standstill. While demonstrators continue to face bullets, widespread strikes have grown into a potent weapon against the military.

https://t.co/WDmprtuPwz https://t.co/ZTjV8npGL4"	264	87
1372855522370670592	2021-03-19T10:20:37Z	nytimes	The Sun, one of Britain’s most popular tabloids, paid more than $2,000 to a Los Angeles private investigator who improperly handed over a trove of personal details about Meghan Markle and her family in 2016, when she first began dating Prince Harry. https://t.co/6hF0VPUvvi	277	87
1372850377062817797	2021-03-19T10:00:10Z	nytimes	In Ethiopia, soldiers have the capital of the Tigray region in their grip. People are coming forward with accounts of massacres, sexual violence, ethnic cleansing and fears that starvation is being used as a war tactic. https://t.co/AjEu0Z7t64	224	148
1372843050452578309	2021-03-19T09:31:04Z	nytimes	"A “serial stowaway” was arrested at O’Hare International Airport in Chicago on Tuesday, days after she vowed in a TV interview to stop sneaking onto planes.

“The first time I was able to get through, I flew to Copenhagen,” she said of evading security.

https://t.co/p0eTJpTe9H"	270	51
1372839046565793794	2021-03-19T09:15:09Z	nytimes	"Ludwig Ahgren, a Twitch streamer in Los Angeles, began sharing a near constant livestream of his life on Sunday. He hasn’t stopped.

“I fell asleep on stream last night and became the most watched streamer on Twitch,” he tweeted on Monday.

https://t.co/dyqkPt61TA"	244	24
1372835271654449163	2021-03-19T09:00:09Z	nytimes	"It's-a me, Super Nintendo World! 

The theme park opened in Osaka, Japan, after months of delays and with everyone clad in masks. https://t.co/9LTWPu4F7H"	311	46
1372820178954817537	2021-03-19T08:00:11Z	nytimes	Here's a look at some of the highlights worth watching from late-night TV. https://t.co/tiAdFC43bk	146	23
1372811845732597761	2021-03-19T07:27:04Z	nytimes	A Chinese court went forward with a trial of a Canadian businessman who has been held in detention for more than two years on charges of spying, in a case that has prompted a global outcry. https://t.co/XRjuzX4u28	169	56
1372797542245691397	2021-03-19T06:30:14Z	nytimes	"A viral challenge sweeping Chinese social media involves posing for dressing-room selfies in children’s T-shirts. This has ignited concerns about body shaming and unhealthy standards of beauty for women.

""This is a dangerous trend,"" one expert said. https://t.co/E9FsbMorWx"	139	35
