user_id,screen_name,status_id,text,created_at,day,month,year,is_quote,is_retweet,favorite_count,retweet_count,quote_count
939091,JoeBiden,1448039273517797384,"Folks, it’s been a month since I laid out my plan to accelerate the path out of this pandemic. We’ve made real progress, but we still have a long way to go.

There’s no better way to beat this pandemic than to get the vast majority of Americans vaccinated. It’s as simple as that.",2021-10-12T21:34:00Z,12,10,2021,FALSE,FALSE,31521,4529,NA
939091,JoeBiden,1447933833521897476,"Virginia: Last year, the people voted and democracy prevailed. We have to do it again and elect @TerryMcAuliffe as governor.

Today is the last day to register to vote. Head to https://t.co/rqHXR7xuqW and make sure you're registered.",2021-10-12T14:35:01Z,12,10,2021,FALSE,FALSE,13398,3109,NA
939091,JoeBiden,1447350735700742146,"For the first time since March 2020, the unemployment rate is below 5%. We still have more work to do, but recovery is moving forward even in the face of a pandemic.",2021-10-10T23:58:00Z,10,10,2021,FALSE,FALSE,39937,4796,NA
939091,JoeBiden,1447303172427497481,"We have a plan. We have the tools. Let’s finish the job—get vaccinated.
https://t.co/b8jlTuDMTm",2021-10-10T20:49:00Z,10,10,2021,FALSE,FALSE,14077,2229,NA
939091,JoeBiden,1447224907079856129,"An average of 600,000 new jobs have been created every month since we took office. 

Jobs are up, wages are up, and unemployment is down. This progress is attributed to the hard work and resilience of the American people, who are battling through this pandemic.",2021-10-10T15:38:00Z,10,10,2021,FALSE,FALSE,20769,3111,NA
939091,JoeBiden,1446982308314165252,"Let’s set one thing straight: The Bipartisan Infrastructure Deal and the Build Back Better Agenda are not about left versus right.

They’re about leading the world or continuing to let the world pass us by.",2021-10-09T23:34:00Z,9,10,2021,FALSE,FALSE,37245,5805,NA
939091,JoeBiden,1446945570753589254,"Before the American Rescue Plan passed, the Congressional Budget Office projected that it would take until 2023 to get to a 4.8% unemployment rate.

We hit that rate in October of 2021.",2021-10-09T21:08:01Z,9,10,2021,FALSE,FALSE,20902,3614,NA
939091,JoeBiden,1446876864342110210,"Here's the deal. Vaccine requirements are already proving that they work.

More than 185 million Americans are now fully vaccinated and more than 75% of eligible Americans have gotten at least one shot. That’s real progress.",2021-10-09T16:35:00Z,9,10,2021,FALSE,FALSE,34813,4289,NA
939091,JoeBiden,1446634769048121345,"Let’s be clear: Vaccine requirements aren't about politics, they’re about saving lives.
https://t.co/LizrAytwGZ",2021-10-09T00:33:00Z,9,10,2021,FALSE,FALSE,22629,3240,NA
939091,JoeBiden,1446596232877592579,We’re making real progress for the American people. https://t.co/CqNYb5ZFwk,2021-10-08T21:59:53Z,8,10,2021,FALSE,FALSE,7645,1200,NA
939091,JoeBiden,1446559777694289924,"Millions of American parents are feeling the squeeze, having a hard time doing their job, earning a paycheck, while taking care of their children or aging parents. My Build Back Better Agenda will change that.",2021-10-08T19:35:01Z,8,10,2021,FALSE,FALSE,24683,3201,NA
939091,JoeBiden,1446544440823267330,"After the last administration chipped away their protections, today I’m proud to announce the protection and expansion of three of our most treasured national monuments:
 
- Bears Ears 
- Grand Staircase-Escalante
- Northeast Canyons and Seamounts",2021-10-08T18:34:04Z,8,10,2021,FALSE,TRUE,0,3155,NA
939091,JoeBiden,1446258288438484994,"When we give working families a break, we're not just raising their quality of life—we're putting parents in a position to earn a paycheck. That's what the Bipartisan Infrastructure Deal and the Build Back Better Agenda are all about.",2021-10-07T23:37:00Z,7,10,2021,FALSE,FALSE,21069,3103,NA
939091,JoeBiden,1446229599290077193,"Teachers and firefighters shouldn’t pay a higher tax rate than millionaires and billionaires.
https://t.co/02tU0LF7p1",2021-10-07T21:43:00Z,7,10,2021,FALSE,FALSE,12741,1904,NA
939091,JoeBiden,1446224128227385346,"Vaccination requirements work. They drive up vaccination rates, which makes our communities and schools safer, along with strengthening our economic recovery. Vaccine requirements are widely supported, proven successful, and quickly becoming the standard across the country. https://t.co/qo1swxjbYg",2021-10-07T21:21:16Z,7,10,2021,FALSE,TRUE,0,2567,NA
939091,JoeBiden,1446128938468532231,"The Bipartisan Infrastructure Deal is about rebuilding our roads, our highways, our bridges, our ports, our airports, our broadband. It’s a blue-collar blueprint for rebuilding America.",2021-10-07T15:03:01Z,7,10,2021,FALSE,FALSE,17897,2640,NA
939091,JoeBiden,1445853879401259008,"Our Bipartisan Infrastructure Deal and Build Back Better Agenda are not about left versus right—they’re about competitiveness versus complacency.
https://t.co/H54nLNbzqL",2021-10-06T20:50:02Z,6,10,2021,FALSE,FALSE,7969,1237,NA
939091,JoeBiden,1445818651869728768,"Republicans forcing us to default on the debt would lead to a self-inflicted wound that would take our economy over a cliff.
https://t.co/x0anA9Gjk7",2021-10-06T18:30:03Z,6,10,2021,FALSE,FALSE,5845,1150,NA
939091,JoeBiden,1445498536452182027,"I ran on my Build Back Better Agenda. I said it was time to build an economy that looks out from Scranton — instead of looking down from Wall Street.

It’s what 81 million Americans — the most votes in history — were supporting when they supported me.

Now it’s time to deliver.",2021-10-05T21:18:01Z,5,10,2021,FALSE,TRUE,0,5731,NA
939091,JoeBiden,1445469237468749841,"My message to Republicans: If you don't want to help save the country, get out of the way. https://t.co/5Um4dL0XO8",2021-10-05T19:21:36Z,5,10,2021,FALSE,FALSE,27192,4852,NA
939091,JoeBiden,1445417858687700992,Republicans won't vote to raise the debt limit to cover their own policies under the previous administration. It’s reckless and dangerous. https://t.co/qXu0jlcQbf,2021-10-05T15:57:26Z,5,10,2021,FALSE,FALSE,9373,1827,NA
939091,JoeBiden,1444359045054439429,"During National Domestic Violence Awareness and Prevention Month, we come together to reaffirm our commitment to ending domestic violence and supporting survivors. We must work to strengthen VAWA and create a society where all people can thrive without fear of violence or abuse.",2021-10-02T17:50:05Z,2,10,2021,FALSE,TRUE,0,3695,NA
939091,JoeBiden,1444310062198054921,"My Build Back Better Agenda and the Bipartisan Infrastructure Deal will spur economic growth – creating and supporting 4 million jobs a year.
 
As we continue our economic recovery, we can’t afford not to seize this opportunity.",2021-10-02T14:35:27Z,2,10,2021,FALSE,TRUE,0,4145,NA
939091,JoeBiden,1444085055031320578,"This week, I’ve been working closely with leaders in Congress to pass my Build Back Better Agenda and Bipartisan Infrastructure Deal. This is what we were elected to do and we will get it done. https://t.co/weOTcyW6M6",2021-10-01T23:41:21Z,1,10,2021,FALSE,TRUE,0,4346,NA
